osmnx_node_id,EMB000,EMB001,EMB000pooled,EMB001pooled,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg
1674993386,0.6833942,-0.8045376,0.582075,-0.16100304,0.0149797040883634,0.0,0.2625,0.0,22.0,46.0,4.181818181818182,4119.82,89.56130434782608,2.636363636363636,17.0,2059.91,23.0,89.56130434782608,1.0261439108923118
1674993500,-0.35116333,-0.18599536,-0.34482452,-0.1892447,0.016730356659737,0.1044681216015728,0.135678391959799,0.0,28.0,48.0,3.4285714285714284,2824.092000000001,58.83525000000001,2.821428571428572,25.0,1805.495,33.0,54.7119696969697,1.0132055711823815
1674993513,0.6060056,-0.81975037,0.2268796,-0.582104,0.0169564915554995,0.0,0.1367053998632945,0.0,45.0,84.0,3.733333333333333,5038.625999999998,59.98364285714284,3.0444444444444443,40.0,3638.368,63.0,57.751873015873024,1.0036128615594495
1674993529,0.075004846,-0.9994193,0.2268796,-0.582104,0.0172515023031879,0.0003200221583431,0.1601922306768121,0.0938160676532769,45.0,84.0,3.733333333333333,5038.625999999998,59.98364285714284,3.0444444444444443,40.0,3638.368,63.0,57.751873015873024,1.0036128615594495
1674993587,-0.9849394,0.39770162,-0.21874207,0.021357195,0.0163402573445399,0.0600444328055422,0.1593406593406593,0.3238916256157635,30.0,54.0,3.6,3461.494,64.10174074074074,2.833333333333333,27.0,2124.196,36.0,59.00544444444444,1.0520483849251123
1674993680,0.38297993,-0.99686545,0.11079284,0.11301611,0.016201818017617,0.0224106011101326,0.2176470588235294,0.4729729729729729,38.0,74.0,3.8947368421052633,5267.280000000001,71.17945945945947,2.789473684210526,33.0,3027.089,46.0,65.80628260869565,1.091576626164936
1674993710,0.71878535,0.55111206,0.4834043,-0.3511555,0.0153966056586253,0.0,0.2452830188679245,0.0,14.0,28.0,4.0,1927.4860000000003,68.83878571428572,2.7142857142857144,11.0,963.743,14.0,68.8387857142857,1.0871494655433174
1674993719,0.71878535,0.55111206,0.61224204,-0.35203934,0.0153966056586253,0.0,0.2608695652173913,0.0,13.0,26.0,4.0,1822.6760000000004,70.10292307692309,2.6923076923076925,10.0,911.338,13.0,70.10292307692308,1.0922576556559596
1674993725,0.9995206,0.998308,0.4834043,-0.3511555,0.0156394462480229,0.0002982158693907,0.3170731707317073,0.2948717948717949,14.0,28.0,4.0,1927.4860000000003,68.83878571428572,2.7142857142857144,11.0,963.743,14.0,68.8387857142857,1.0871494655433174
1674993757,0.7276597,0.53516734,0.15945387,0.105651304,0.0156393713748785,0.0,0.1587982832618025,0.0,38.0,72.0,3.789473684210526,5137.112000000001,71.3487777777778,2.789473684210526,33.0,2962.005,45.0,65.82233333333333,1.0697223139342564
1674993774,0.99995226,0.41680652,0.19817905,0.115804695,0.0158899926344541,0.0005963524922897,0.1818181818181818,0.1833333333333333,41.0,80.0,3.902439024390244,5668.196000000002,70.85245000000002,2.804878048780488,36.0,3227.5470000000005,49.0,65.86830612244898,1.0857648325897715
1674993789,0.98980093,-0.8883024,0.4116729,-0.11592092,0.0165434720417701,0.1004964835405538,0.2006202290076336,0.1602822580645161,33.0,64.0,3.878787878787879,6066.441999999998,94.78815624999996,3.060606060606061,32.0,3317.641,37.0,89.66597297297298,1.0239135569202231
1674993927,-0.30492613,0.47121033,0.22483455,-0.15106648,0.0162306967569864,0.0572978514717866,0.1521560236998025,0.2476615646258503,50.0,89.0,3.56,8332.475999999999,93.62332584269662,2.88,44.0,5535.046999999999,61.0,90.73847540983604,1.0533186764741536
